NUMBER,NAME,LOCATION,TYPE,General Observations,SUMMIT CRATER,Crater Observations,Underwater Extent,Latitude,Longitude,Elevation Min (m),Elevation Max (m),Basal Area (km2),Basal Width (km),Minor Basal Axis (km),Major Basal Axis (km),Summit Area (km2),Summit Width (km),Height (km),Height Max (km),Volume (km3),Volume Max (km3),Height / Basal width,Summit width / Basal width,Ellipticity index [outline],Irregularity index [outline],Ellipticity index [avg. contours],Irregularity index [avg. contours],Mean Slope [total] (º),Mean Slope [flank] (º),Mean Slope [low flank] (º),Mean Slope [main flank] (º),Mean Slope [summit] (º),Max. Avg. Slope (º),Max. Avg. Slope Height Fraction,Azimuth Major Basal Axis (º),Avg. Azimuth Elevation contours (º),Sec. Peaks [total],Sec. Peaks [flank],Sec. Peaks [summit],Holes [total],Holes [flank],Holes [summit],Contours [flank],Contours [summit],Elevation Lowest Contour (m),Elevation Fraction Lowest Contour,Width Lowest Contour (m),Elevation Summit Region Contour (m),Elevation Fraction Summit Region Contour,Crater Elevation Min (m),Crater Elevation Min [fraction],Crater Area (km2),Crater Width (km),Major Crater Axis (km),Azimuth Major Crater Axis (º),Crater Depth (km),Crater Depth Max (km),Crater Volume (km3),Crater Volume Max (km3),Ellipticity index [crater outline],Irregularity index [crater outline],Crater Depth / Crater Width,Crater Width / Edifice Width,Crater Depth / Edifice Height,Crater Volume / Edifice Volume,Mean Crater Slope (º)
0304-07-,Marion Island,Indian O.-S,Shield volcanoes,,NO,,Totally,-46.904,37.708,0,1217,278,18.8,14.9,22.4,4.00,2.26,1.17,1.22,101,109,0.062,0.120,1.61,1.17,2.56,1.39,9.8,9.8,7.4,11.5,11.1,13.7,0.74,85,70,27,24,3,0,0,0,18,2,250,0.21,14.6,1100,0.90, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0401-021,Mayor Island,New Zealand,Shield volcano,No closed elevation contours on flank,YES,Crater considered as summit region,Totally,-37.281,176.241,0,342,15.6,4.46,3.87,5.33,6.09,2.78,0.34,0.34,1.7,1.7,0.077,0.625,1.46,1.19,ND,ND,13.7,13.7,ND,ND,ND,ND,ND,56,ND,0,0,ND,0,0,ND,0,ND,ND,ND,ND,crater,ND,10,0.03,6.09,2.78,3.25,56,0.15,0.33,0.35,1.30,1.36,1.09,0.05,0.62,0.45,0.21,13.0
0401-03=,Taranaki [Egmont],New Zealand,Stratovolcano,Outline delineation problematic,NO,,No,-39.297,174.063,668,2475,73.5,9.67,8.01,11.2,0.15,0.44,1.63,1.81,23.5,36.2,0.168,0.045,1.37,1.18,1.32,1.16,16.3,16.3,10.1,20.8,21.8,34.5,0.90,63,177,2,2,0,0,0,0,29,1,1000,0.18,7.38,2400,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0401-04=,White Island,New Zealand,Stratovolcanoes,,NO,,Totally,-37.520,177.178,0,291,4.24,2.32,1.93,2.85,0.15,0.43,0.29,0.29,0.34,0.35,0.124,0.187,1.53,1.12,2.52,1.36,16.0,16.1,10.4,21.9,15.3,23.5,0.52,123,134,1,1,0,0,0,0,5,0,50,0.17,1.73,250,0.86, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0401-08=,Tongariro,New Zealand,Stratovolcanoes,Outline delineation problematic; summit region includes Ngauruhoe edifice,NO,,No,-39.158,175.632,566,2252,176,15.0,13.4,16.5,15.4,4.43,1.12,1.69,44,118,0.075,0.296,1.24,1.26,2.51,1.82,11.7,11.0,9.8,15.8,19.0,20.0,0.64,35,35,21,12,9,2,1,1,6,12,1400,0.49,7.97,1650,0.64, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0401-10=,Ruapehu,New Zealand,Stratovolcano,,NO,,No,-39.290,175.562,1028,2744,199,15.9,14.3,18.0,3.52,2.12,1.53,1.72,71,111,0.096,0.133,1.36,1.21,1.79,1.44,13.1,13.1,9.9,16.5,17.3,25.0,0.80,180,4,10,6,4,1,1,0,22,3,1500,0.28,11.2,2550,0.89, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0402-03=,Raoul Island,Kermadec Is,Stratovolcano,,YES,Crater considered as summit region,Totally,-29.268,-177.908,0,499,31.0,6.29,4.86,9.74,6.35,2.84,0.50,0.50,5.5,5.8,0.079,0.452,2.67,1.41,2.89,1.43,20.5,20.5,13.1,23.1,ND,16.3,0.11,114,113,2,2,ND,0,0,ND,1,ND,50,0.11,5.71,crater,ND,0,0.01,6.35,2.84,3.46,65,0.31,0.49,1.13,2.43,1.48,1.10,0.11,0.45,0.62,0.20,17.4
0403-061,Kao,Tonga-SW Pacific,Stratovolcano,,NO,,Totally,-19.669,-175.016,0,1010,11.9,3.89,3.16,5.08,0.11,0.37,0.99,1.01,3.8,4.0,0.255,0.096,1.79,1.09,1.48,1.04,26.9,26.9,20.0,29.1,21.2,32.9,0.64,23,16,0,0,0,0,0,0,18,1,100,0.10,3.48,950,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0403-09=,Late,Tonga-SW Pacific,Stratovolcano,,NO,,Totally,-18.805,-174.649,0,479,18.2,4.81,4.24,5.33,0.10,0.36,0.48,0.48,2.3,2.3,0.099,0.074,1.27,1.11,1.59,1.10,10.2,10.2,7.0,11.6,9.7,17.5,0.84,146,112,0,0,0,0,0,0,9,0,50,0.10,4.06,450,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0403-10=,Fonualei,Tonga-SW Pacific,Stratovolcano,,NO,,Totally,-18.024,-174.322,0,185,3.70,2.17,1.57,2.56,0.44,0.74,0.17,0.19,0.27,0.34,0.076,0.343,1.43,1.25,1.72,1.16,11.6,12.0,12.2,11.5,8.8,12.3,0.54,27,104,2,2,0,0,0,0,2,0,100,0.54,1.41,150,0.81, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
