NUMBER,NAME,LOCATION,TYPE,General Observations,SUMMIT CRATER,Crater Observations,Underwater Extent,Latitude,Longitude,Elevation Min (m),Elevation Max (m),Basal Area (km2),Basal Width (km),Minor Basal Axis (km),Major Basal Axis (km),Summit Area (km2),Summit Width (km),Height (km),Height Max (km),Volume (km3),Volume Max (km3),Height / Basal width,Summit width / Basal width,Ellipticity index [outline],Irregularity index [outline],Ellipticity index [avg. contours],Irregularity index [avg. contours],Mean Slope [total] (º),Mean Slope [flank] (º),Mean Slope [low flank] (º),Mean Slope [main flank] (º),Mean Slope [summit] (º),Max. Avg. Slope (º),Max. Avg. Slope Height Fraction,Azimuth Major Basal Axis (º),Avg. Azimuth Elevation contours (º),Sec. Peaks [total],Sec. Peaks [flank],Sec. Peaks [summit],Holes [total],Holes [flank],Holes [summit],Contours [flank],Contours [summit],Elevation Lowest Contour (m),Elevation Fraction Lowest Contour,Width Lowest Contour (m),Elevation Summit Region Contour (m),Elevation Fraction Summit Region Contour,Crater Elevation Min (m),Crater Elevation Min [fraction],Crater Area (km2),Crater Width (km),Major Crater Axis (km),Azimuth Major Crater Axis (º),Crater Depth (km),Crater Depth Max (km),Crater Volume (km3),Crater Volume Max (km3),Ellipticity index [crater outline],Irregularity index [crater outline],Crater Depth / Crater Width,Crater Width / Edifice Width,Crater Depth / Edifice Height,Crater Volume / Edifice Volume,Mean Crater Slope (º)
0804-01=,Oshima,Izu Is-Japan,Stratovolcano,,NO,Large but open crater,Partially,34.724,139.394,1,731,75.2,9.78,7.86,11.5,29.5,6.13,0.69,0.73,19.4,22.3,0.071,0.627,1.39,1.14,1.46,1.12,9.6,10.4,10.1,10.8,8.4,11.3,0.48,145,148,6,3,3,0,0,0,4,7,200,0.27,7.90,350,0.48, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0804-011,To-shima,Izu Is-Japan,Stratovolcano,,NO,,Totally,34.519,139.279,0,492,4.06,2.27,2.05,2.50,0.08,0.32,0.48,0.49,0.66,0.72,0.210,0.139,1.27,1.11,1.33,1.04,22.1,22.2,18.8,24.5,15.9,26.5,0.81,62,65,0,0,0,0,0,0,8,0,100,0.20,1.84,450,0.91, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0804-04=,Miyake-jima,Izu Is-Japan,Stratovolcano,,NO,Small crater,Partially,34.081,139.526,0,796,49.4,7.93,6.69,8.72,1.92,1.56,0.77,0.80,12.0,13.4,0.097,0.197,1.22,1.15,1.46,1.08,12.1,12.2,10.7,13.6,9.7,18.6,0.82,23,22,1,0,1,1,1,0,11,1,200,0.25,5.87,700,0.88, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0804-041,Mikura-jima,Izu Is-Japan,Stratovolcano,,NO,,Totally,33.874,139.603,0,833,20.2,5.08,4.74,5.49,1.32,1.29,0.82,0.83,7.7,8.0,0.162,0.255,1.25,1.08,1.59,1.43,25.6,26.1,30.8,25.4,19.1,40.2,0.12,145,127,3,2,1,0,0,0,13,2,100,0.12,4.85,700,0.84, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0804-05=,Hachijo-jima [Nishi-yama],Izu Is-Japan,[Stratovolcano],"Only Nishi-yama, the historically active edifice, is considered",NO,Small crater,Partially,33.138,139.762,0,836,17.1,4.67,4.22,5.13,0.51,0.80,0.79,0.84,4.3,5.2,0.168,0.172,1.22,1.13,1.12,1.01,18.2,18.3,14.9,20.8,15.6,26.0,0.90,134,132,0,0,0,0,0,0,12,1,200,0.24,3.62,750,0.90, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0804-06=,Aoga-shima,Izu Is-Japan,Stratovolcano,No closed elevation contours on flank,YES,Crater considered as summit region,Totally,32.460,139.761,0,377,5.80,2.72,2.25,3.51,2.12,1.64,0.35,0.38,0.86,0.98,0.127,0.605,1.77,1.11,ND,ND,26.2,26.2,ND,ND,ND,ND,ND,150,ND,0,0,ND,0,0,ND,0,ND,ND,ND,ND,crater,ND,83,0.22,2.12,1.64,1.98,129,0.21,0.29,0.25,0.51,1.45,1.05,0.13,0.60,0.60,0.29,17.5
0804-09=,Tori-shima,Izu Is-Japan,Stratovolcano,,NO,,Totally,30.483,140.302,0,359,4.34,2.35,1.86,2.55,1.48,1.37,0.34,0.36,0.70,0.78,0.144,0.583,1.25,1.29,1.40,1.07,21.0,23.5,20.5,26.4,15.3,28.4,0.42,78,73,3,1,2,2,2,0,4,2,100,0.28,1.98,250,0.70, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0804-11=,Kita-Iwo-jima,Volcano Is-Japan,Stratovolcano,,NO,,Totally,25.430,141.282,0,710,5.46,2.64,2.00,3.34,0.09,0.34,0.69,0.71,1.25,1.40,0.260,0.127,1.65,1.13,1.80,1.10,28.7,28.8,26.7,29.9,24.4,38.8,0.77,6,11,0,0,0,0,0,0,11,1,150,0.21,2.19,650,0.92, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0804-15=,Asuncion,Mariana Is-C Pacific,Stratovolcano,,NO,,Totally,19.692,145.405,0,833,7.70,3.13,2.71,3.43,0.27,0.58,0.82,0.83,2.10,2.24,0.260,0.186,1.22,1.08,1.19,1.01,27.0,27.3,20.7,29.8,18.2,34.1,0.84,6,150,0,0,0,0,0,0,14,1,100,0.12,2.75,750,0.90, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0804-16=,Agrigan,Mariana Is-C Pacific,Stratovolcano,,YES,Crater considered as summit region,Totally,18.768,145.674,0,938,42.5,7.35,6.29,8.75,4.31,2.34,0.91,0.94,16.0,17.0,0.124,0.319,1.52,1.11,1.71,1.14,19.8,19.8,18.1,20.7,ND,22.6,0.43,174,179,0,0,ND,0,0,ND,9,ND,200,0.21,6.29,crater,ND,510,0.54,4.31,2.34,2.70,53,0.31,0.43,0.78,1.42,1.33,1.08,0.13,0.32,0.34,0.05,19.8
0804-18=,Alamagan,Mariana Is-C Pacific,Stratovolcano,,YES,,Totally,17.601,145.836,0,687,13.0,4.07,3.69,4.56,1.65,1.45,0.68,0.69,2.9,3.1,0.166,0.356,1.29,1.09,1.26,1.09,19.2,19.0,14.6,20.0,21.1,27.7,0.66,167,33,0,0,0,0,0,0,10,0,50,0.07,3.81,500,0.73,416,0.61,0.37,0.69,0.97,146,0.16,0.27,0.03,0.08,2.00,1.06,0.23,0.17,0.24,0.01,25.7
0804-19=,Guguan,Mariana Is-C Pacific,Stratovolcano,,NO,,Totally,17.307,145.845,0,282,4.24,2.32,1.89,2.81,0.36,0.67,0.27,0.28,0.52,0.56,0.116,0.290,1.50,1.11,1.93,1.11,16.5,17.3,17.4,17.2,8.2,19.3,0.35,157,4,2,2,0,0,0,0,4,0,100,0.35,1.81,250,0.89, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0804-192,Sarigan,Mariana Is-C Pacific,Stratovolcano,,NO,,Totally,16.699,145.780,0,492,4.52,2.40,1.91,2.82,1.04,1.15,0.48,0.49,0.75,0.80,0.201,0.479,1.65,1.19,1.35,1.04,21.6,22.4,15.2,26.3,18.8,31.7,0.41,151,178,0,0,0,0,0,0,6,3,50,0.10,2.13,300,0.61, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0804-20=,Anatahan,Mariana Is-C Pacific,Stratovolcano,,YES,Crater considered as summit region,Totally,16.355,145.656,0,772,33.7,6.55,3.70,9.55,10.4,3.64,0.76,0.77,8.6,9.0,0.116,0.556,2.15,1.14,2.41,1.10,21.6,21.6,17.2,23.2,ND,21.0,0.19,87,92,0,0,ND,0,0,ND,2,ND,100,0.13,6.01,crater,ND,66,0.09,10.4,3.64,5.39,100,0.45,0.67,1.92,4.62,2.19,1.09,0.12,0.56,0.59,0.22,16.0
0805-01=,Oshima-Oshima,Hokkaido-Japan,Stratovolcano,Summit region includes two peaks,NO,,Totally,41.510,139.367,0,699,9.28,3.44,2.34,4.10,1.22,1.25,0.68,0.70,2.64,2.83,0.198,0.363,1.51,1.16,1.91,1.12,27.1,28.1,24.6,29.3,20.1,32.2,0.29,43,100,3,1,2,0,0,0,10,2,100,0.14,3.12,550,0.79, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0805-02=,Komaga-take,Hokkaido-Japan,Stratovolcano,Summit region includes two peaks,NO,,No,42.063,140.677,151,1080,37.2,6.89,5.32,8.05,2.39,1.75,0.75,0.93,7.5,14.2,0.108,0.253,1.52,1.26,1.56,1.18,13.3,13.0,9.9,15.9,17.0,21.8,0.75,133,151,3,2,1,0,0,0,10,3,450,0.32,5.22,900,0.81, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0805-03=,Usu,Hokkaido-Japan,Stratovolcano,,NO,,No,42.543,140.839,39,707,22.9,5.40,4.68,6.57,0.51,0.81,0.59,0.67,3.7,5.6,0.109,0.150,1.52,1.26,1.77,1.19,13.5,13.5,11.3,16.1,16.6,24.6,0.84,93,112,3,3,0,1,1,0,8,2,250,0.32,3.71,600,0.84, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0805-031,Niseko,Hokkaido-Japan,Stratovolcanoes,Outline delineation problematic; closed elevation contour(s) not representative,NO,,No,42.874,140.658,199,1283,92.7,10.9,8.02,14.4,19.3,4.95,0.85,1.08,21.2,44.3,0.078,0.456,1.80,1.31,2.71,2.25,14.8,13.8,13.8,ND,17.5,14.0,0.55,130,98,16,5,11,2,1,1,1,9,800,0.55,4.95,800,0.55, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0805-032,Yotei,Hokkaido-Japan,Stratovolcano,,NO,Small crater,No,42.825,140.810,439,1865,34.0,6.58,5.93,7.36,1.02,1.14,1.33,1.43,13.1,16.4,0.203,0.173,1.26,1.20,1.15,1.04,21.7,21.7,14.4,24.9,20.2,31.8,0.74,69,69,0,0,0,2,2,0,23,2,650,0.15,5.60,1750,0.92, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0805-041,Rishiri,Hokkaido-Japan,Stratovolcano,,NO,,No,45.179,141.241,207,1676,42.9,7.39,6.66,8.17,0.11,0.37,1.28,1.47,13.4,21.5,0.174,0.050,1.27,1.19,1.85,1.41,20.8,20.8,13.7,25.2,25.8,36.2,0.95,70,158,0,0,0,0,0,0,22,1,550,0.23,5.91,1600,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0805-06=,Daisetsu,Hokkaido-Japan,Stratovolcanoes,Outline delineation problematic; summit region includes several peaks,NO,Large crater but not on summit,No,43.663,142.854,514,2271,167,14.6,10.9,16.8,14.2,4.26,1.05,1.76,55,157,0.072,0.292,1.40,1.26,2.87,2.22,16.8,16.8,17.0,15.4,16.7,16.7,0.85,137,133,24,11,13,1,1,0,3,5,1900,0.79,6.06,2000,0.85, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-02=,Mendeleev,Kuril Is,Stratovolcano,Summit region includes two peaks,NO,,No,43.979,145.732,154,873,20.6,5.12,3.89,5.96,3.53,2.12,0.59,0.72,3.2,6.0,0.115,0.414,1.44,1.25,1.86,1.30,15.1,14.1,11.5,17.9,20.3,21.1,0.62,173,21,4,1,3,0,0,0,5,5,400,0.34,3.68,600,0.62, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-021,Smirnov,Kuril Is,Stratovolcano,Outline delineation problematic; almost no positive topography; closed elevation contour(s) not representative,NO,,No,44.425,146.132,6,1174,84.3,10.4,9.07,11.5,1.28,1.28,0.49,1.17,11.1,46.5,0.047,0.123,1.60,1.32,2.41,1.37,14.1,14.2,14.2,ND,10.2,11.3,0.94,116,117,10,9,1,0,0,0,1,1,1100,0.94,1.28,1100,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-03=,Tiatia,Kuril Is,Stratovolcano,,NO,Small crater,No,44.353,146.253,262,1742,65.1,9.10,8.29,9.92,4.51,2.40,1.35,1.48,23.1,31.9,0.148,0.263,1.22,1.19,1.35,1.07,15.3,15.4,10.3,18.7,13.4,26.9,0.67,52,50,1,0,1,1,1,0,18,6,550,0.19,7.33,1400,0.77, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-04=,Berutarube,Kuril Is,Stratovolcano,Summit region includes three peaks,NO,,Partially,44.466,146.931,1,1173,72.1,9.58,8.59,10.9,2.02,1.60,1.07,1.17,24.7,32.2,0.112,0.167,1.35,1.19,2.23,1.71,17.6,17.5,14.5,21.0,20.2,24.8,0.81,161,171,7,4,3,0,0,0,13,3,400,0.34,6.71,1000,0.85, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-05=,Atsonupuri,Kuril Is,Stratovolcano,,NO,Small crater,Partially,44.807,147.130,0,1182,21.7,5.26,4.63,5.77,0.33,0.65,1.15,1.18,7.7,8.6,0.218,0.124,1.30,1.16,1.19,1.04,22.6,22.7,18.1,27.3,19.8,30.7,0.89,19,130,0,0,0,2,2,0,17,1,300,0.25,3.79,1100,0.93, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-06-,Bogatyr Ridge [Stokap],Kuril Is,Stratovolcano,"Only Stokap, the largest edifice of the ridge, is considered; outline delineation problematic",NO,Small crater,No,44.838,147.344,240,1603,42.9,7.39,6.54,8.21,1.85,1.54,1.06,1.36,13.2,27.4,0.143,0.208,1.30,1.19,2.43,1.26,20.9,21.1,19.9,24.3,17.1,27.7,0.89,51,57,7,5,2,0,0,0,9,3,1050,0.59,4.04,1450,0.89, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-08=,Baransky,Kuril Is,Stratovolcano,,NO,,No,45.103,148.019,127,1106,25.3,5.68,4.81,6.56,0.51,0.81,0.72,0.98,5.0,11.8,0.127,0.143,1.48,1.32,1.70,1.19,15.5,15.6,13.8,19.3,12.0,23.8,0.84,124,151,0,0,0,0,0,0,9,1,650,0.53,3.37,1050,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-09=,Chirip,Kuril Is,Stratovolcanoes,Summit region includes two peaks,NO,,Partially,45.377,147.913,0,1548,129,12.8,9.58,17.3,12.8,4.03,1.50,1.55,60,70,0.117,0.315,1.89,1.15,2.23,1.41,16.7,16.1,14.5,17.9,22.2,22.4,0.68,11,173,7,4,3,2,2,0,13,9,450,0.29,9.36,1050,0.68, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-10=,Medvezhia,Kuril Is,Somma volcano,Summit region includes three peaks,NO,Small crater,Partially,45.389,148.838,1,1115,26.0,5.75,3.50,6.81,2.29,1.71,0.92,1.11,7.5,12.8,0.160,0.297,1.50,1.25,2.26,1.14,20.4,20.3,17.2,24.4,22.3,29.7,0.76,29,57,3,1,2,0,0,0,10,4,450,0.40,4.02,900,0.81, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-11-,Demon,Kuril Is,Stratovolcano,Outline delineation problematic; closed elevation contour(s) not representative,NO,,Partially,45.500,148.862,0,1164,23.0,5.41,3.43,7.12,0.84,1.03,0.71,1.16,5.2,13.0,0.132,0.191,1.80,1.16,3.28,1.43,24.2,24.3,24.3,24.8,19.8,24.8,0.90,4,151,1,1,0,0,0,0,2,2,1000,0.86,1.38,1050,0.90, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-112,Rudakov,Kuril Is,Stratovolcano,Outline delineation problematic,NO,,Partially,45.873,149.818,0,529,13.1,4.08,3.36,4.55,0.67,0.92,0.48,0.53,1.9,2.7,0.118,0.226,1.41,1.20,1.62,1.26,16.4,16.6,15.9,18.7,11.5,21.8,0.76,28,132,0,0,0,0,0,0,5,1,250,0.47,2.28,450,0.85, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-113,Tri Sestry,Kuril Is,Stratovolcano,Outline delineation problematic; summit region includes three peaks,NO,,Partially,45.925,149.898,3,968,20.5,5.11,4.06,6.14,0.77,0.99,0.68,0.97,4.0,9.1,0.132,0.193,1.54,1.20,3.11,1.19,19.1,19.0,18.5,28.8,21.5,29.9,0.88,6,180,4,2,2,0,0,0,3,2,750,0.77,1.47,850,0.88, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-12=,Kolokol Group,Kuril Is,Somma volcanoes,Outline delineation problematic; closed elevation contour(s) not representative,NO,,Partially,46.043,150.048,0,1303,66.9,9.23,7.89,11.0,1.63,1.44,1.04,1.30,19.3,36.6,0.113,0.156,1.42,1.18,4.51,1.68,19.1,18.9,18.9,ND,22.7,19.6,0.77,29,69,16,12,4,0,0,0,1,6,1000,0.77,1.44,1000,0.77, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-161,Milne,Kuril Is,Somma volcano,Summit region includes two peaks,NO,,Partially,46.814,151.786,0,1498,86.3,10.5,9.11,11.7,1.23,1.25,1.48,1.50,39.1,41.0,0.142,0.119,1.43,1.16,1.82,1.29,18.0,17.9,16.0,18.3,24.3,24.9,0.67,123,106,5,3,2,0,0,0,24,3,150,0.10,9.54,1300,0.87, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-19=,Prevo Peak,Kuril Is,Stratovolcano,,NO,Small crater,No,47.014,152.116,169,1360,15.7,4.47,3.55,5.33,0.53,0.83,0.97,1.19,4.4,7.7,0.217,0.185,1.57,1.24,1.20,1.02,24.1,24.2,20.3,29.0,19.7,32.4,0.78,26,35,0,0,0,0,0,0,14,2,600,0.36,3.13,1250,0.91, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-191,Urataman,Kuril Is,Somma volcano,Outline delineation problematic,NO,,No,47.121,152.246,19,644,9.38,3.46,2.65,4.12,0.10,0.36,0.57,0.63,1.29,1.80,0.165,0.103,1.55,1.29,1.54,1.06,16.7,16.8,11.5,21.4,15.5,28.3,0.85,43,96,2,2,0,0,0,0,10,0,150,0.21,2.60,600,0.93, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-20=,Ketoi,Kuril Is,Stratovolcano,Summit region includes several peaks,NO,Large crater but not on summit,Partially,47.341,152.438,0,1127,57.6,8.56,6.92,9.45,13.3,4.11,1.06,1.13,20.5,27.6,0.123,0.480,1.27,1.23,1.54,1.31,17.6,16.5,15.3,17.3,22.0,21.3,0.46,53,50,8,3,5,2,2,0,9,9,250,0.25,7.18,650,0.59, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-22=,Rasshua,Kuril Is,Stratovolcano,Summit region includes several peaks,NO,,Partially,47.762,153.020,3,936,32.7,6.45,4.72,7.83,7.43,3.08,0.80,0.93,9.3,13.9,0.124,0.477,1.56,1.25,1.98,1.23,17.4,17.4,16.6,18.4,17.4,20.7,0.64,180,13,3,1,2,0,0,0,6,6,350,0.37,4.92,600,0.64, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-24=,Sarychev Peak,Kuril Is,Stratovolcano,,NO,,Partially,48.090,153.200,0,1413,37.2,6.88,5.83,8.45,0.19,0.49,1.38,1.41,14.3,16.0,0.200,0.071,1.50,1.17,1.51,1.05,20.5,20.5,17.5,22.3,16.6,32.8,0.88,146,153,0,0,0,0,0,0,23,1,250,0.18,5.56,1350,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-25=,Raikoke,Kuril Is,Stratovolcano,,NO,Small crater,Totally,48.291,153.253,0,505,3.74,2.18,1.89,2.42,1.60,1.43,0.48,0.51,0.73,0.81,0.222,0.653,1.27,1.14,1.27,1.02,28.8,29.0,24.4,33.2,28.3,33.7,0.40,60,106,0,0,0,2,2,0,4,5,100,0.20,1.91,250,0.50, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-26=,Chirinkotan,Kuril Is,Stratovolcano,,NO,,Totally,48.979,153.479,0,687,5.69,2.69,2.35,2.97,0.39,0.71,0.66,0.69,1.36,1.50,0.245,0.263,1.26,1.17,1.60,1.16,28.6,29.1,25.3,31.7,21.5,34.9,0.37,50,61,0,0,0,0,0,0,9,2,150,0.22,2.18,550,0.80, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-27=,Ekarma,Kuril Is,Stratovolcano,Summit region includes main cone and coalescing ridge,NO,,Totally,48.947,153.941,0,1143,32.2,6.40,4.70,8.52,5.14,2.56,1.13,1.14,9.8,10.2,0.177,0.400,1.81,1.19,2.54,1.29,20.9,19.5,18.1,20.2,28.6,25.9,0.44,109,103,5,2,3,0,0,0,9,11,150,0.13,5.46,550,0.48, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-29=,Sinarka,Kuril Is,Stratovolcano,Summit region includes several peaks,NO,,Totally,48.872,154.180,0,920,72.9,9.63,7.58,12.6,8.26,3.24,0.90,0.92,23.6,26.2,0.093,0.337,1.76,1.15,2.83,1.53,15.8,15.8,14.9,16.4,15.8,19.0,0.65,34,28,9,7,2,0,0,0,9,5,250,0.27,7.73,650,0.71, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-30=,Kharimkotan,Kuril Is,Stratovolcano,,NO,,Partially,49.114,154.511,3,1141,32.6,6.44,4.98,7.49,1.26,1.27,0.91,1.14,8.2,15.2,0.141,0.196,1.40,1.26,1.72,1.22,18.0,17.8,15.6,20.0,21.7,26.8,0.79,31,23,5,3,2,0,0,0,12,3,400,0.35,4.72,950,0.83, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-31=,Tao-Rusyr Caldera [Krenitzyn Peak],Kuril Is,Stratovolcano,Edifice within caldera is considered,NO,,Totally,49.354,154.707,384,1263,10.1,3.58,3.35,3.87,0.20,0.50,0.86,0.88,2.7,2.9,0.240,0.141,1.19,1.09,1.22,1.05,25.3,25.5,17.4,27.4,16.0,33.7,0.87,177,152,0,0,0,0,0,0,16,1,450,0.08,3.30,1200,0.93, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-32=,Nemo Peak,Kuril Is,[Stratovolcano],Edifice within caldera is considered,NO,,Partially,49.564,154.813,7,988,20.0,5.05,4.26,5.53,0.04,0.23,0.89,0.98,3.8,5.7,0.175,0.045,1.27,1.18,1.30,1.06,15.7,15.7,11.6,20.5,19.6,33.6,0.81,67,140,0,0,0,0,0,0,15,0,250,0.25,3.50,950,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-331,Shirinki,Kuril Is,Stratovolcano,,NO,Small crater,Totally,50.197,154.983,0,684,8.70,3.33,3.00,3.90,0.42,0.73,0.67,0.68,2.30,2.43,0.201,0.219,1.39,1.12,1.52,1.09,25.4,26.1,24.6,26.6,9.3,31.5,0.80,80,86,0,0,0,2,2,0,12,0,100,0.15,3.01,650,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-34=,Fuss Peak,Kuril Is,Stratovolcano,,NO,,Partially,50.267,155.246,6,1740,38.8,7.03,6.22,8.03,0.50,0.80,1.59,1.73,16.8,23.0,0.226,0.114,1.36,1.26,1.29,1.11,23.7,23.6,19.4,27.2,23.8,34.2,0.78,6,94,0,0,0,0,0,0,24,2,450,0.26,5.28,1600,0.92, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-36=,Chikurachki,Kuril Is,Stratovolcanoes,Outline delineation problematic; closed elevation contour(s) not representative,NO,,Partially,50.323,155.460,0,1785,36.6,6.82,5.58,7.75,0.28,0.60,1.22,1.79,10.7,28.2,0.178,0.087,1.39,1.20,1.97,1.10,22.2,22.2,22.1,23.0,17.1,31.4,0.92,86,30,3,3,0,0,0,0,7,1,1400,0.78,2.17,1700,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-38=,Ebeko,Kuril Is,Somma volcano,Outline delineation problematic; closed elevation contour(s) not representative,NO,,Partially,50.686,156.016,0,1105,100,11.3,10.0,12.8,12.3,3.95,0.91,1.11,30,54,0.081,0.350,1.34,1.25,3.50,2.01,16.6,16.9,16.9,17.1,14.4,17.1,0.77,15,27,11,4,7,0,0,0,2,4,850,0.77,4.65,900,0.81, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0900-39=,Alaid,Kuril Is,Stratovolcano,,NO,Small crater,Totally,50.861,155.564,0,2285,146,13.6,12.0,15.5,1.44,1.36,2.27,2.29,81,83,0.167,0.100,1.33,1.09,1.24,1.05,16.3,16.2,8.8,17.7,19.5,30.6,0.90,140,111,4,2,2,2,2,0,42,2,100,0.04,12.5,2150,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-01=,Kambalny,Kamchatka,Stratovolcano,Outline delineation problematic,NO,,No,51.305,156.875,361,2117,71.0,9.51,8.41,10.8,0.20,0.51,1.52,1.76,25.2,41.9,0.159,0.053,1.30,1.17,1.76,1.14,17.4,17.3,15.3,26.2,18.4,31.6,0.85,55,152,4,4,0,0,0,0,17,1,1250,0.51,4.18,2050,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-02=,Koshelev,Kamchatka,Stratovolcano,,NO,,No,51.356,156.754,308,1820,83.5,10.3,7.64,12.8,0.91,1.07,1.23,1.51,27.4,52.3,0.119,0.104,1.57,1.27,2.68,1.35,16.4,16.4,13.0,21.6,16.4,25.0,0.82,126,109,5,4,1,0,0,0,16,2,950,0.42,6.58,1700,0.92, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-03=,Ilyinsky,Kamchatka,Stratovolcano,,NO,,No,51.499,157.203,285,1549,30.1,6.19,5.61,7.06,0.12,0.40,1.08,1.26,7.5,12.8,0.174,0.064,1.29,1.21,1.32,1.09,18.1,18.1,14.9,21.4,16.8,32.4,0.80,99,126,3,3,0,0,0,0,18,0,650,0.29,4.44,1500,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
